"node","_Intercept__estimate","_Intercept__p_value","neural_shift_estimate","neural_shift_p_value","poly_semantic_distance_3_1_estimate","poly_semantic_distance_3_1_p_value","poly_semantic_distance_3_2_estimate","poly_semantic_distance_3_2_p_value","poly_semantic_distance_3_3_estimate","poly_semantic_distance_3_3_p_value","neural_shift_poly_semantic_distance_3_1_estimate","neural_shift_poly_semantic_distance_3_1_p_value","neural_shift_poly_semantic_distance_3_2_estimate","neural_shift_poly_semantic_distance_3_2_p_value","neural_shift_poly_semantic_distance_3_3_estimate","neural_shift_poly_semantic_distance_3_3_p_value"
45,0.564750893019343,5.71625178637503e-61,-0.0143655724113074,0.455310148579805,-2.14202296340729,0.0173318363977809,1.41911774772791,0.11876935405789,0.904203897183772,0.337275578921202,0.633866641854122,0.415115984207796,-0.751867456999771,0.339343497370436,-0.786236293371881,0.323987248335627
46,0.540544141584476,7.46619502640707e-58,0.00790104706515562,0.645072908666734,-3.34028765295002,1.4351978632213e-05,-0.271000141604493,0.725991216395469,-0.392128572660151,0.636986357800479,1.78484438539627,0.00860061068045981,0.774335476397203,0.256282715868334,0.308369388990079,0.662805714088
47,0.55342197961224,1.47017178342474e-57,-0.0043221164628136,0.765686914626572,-2.56065710601774,8.40848990870227e-05,0.667583168602599,0.308451960677565,0.894049106777187,0.205276501007474,1.10515366379731,0.0541695778705281,-0.0702896357924656,0.903102418300372,-0.833448962472997,0.160371069609098
48,0.559388682386317,3.15760483590801e-60,-0.0100968585953377,0.570248015005565,-1.95053516866352,0.0150594250153433,0.408354923920565,0.600042684223319,0.748344141283388,0.352463451585608,0.469038256046292,0.520791739252996,0.180798320300279,0.798619291414267,-0.701617127188141,0.322154763737873
49,0.544689053995259,6.47587025147091e-58,0.00383703907731578,0.813061134001212,-1.30033504218506,0.0820596058941097,0.317036096921559,0.682804949189501,0.204987491140878,0.801052626852822,-0.155998617247,0.811210697046889,0.252026752056776,0.709360511010809,-0.183579966110107,0.787712948507617
50,0.537699863590702,8.15613873906415e-58,0.0110617996312748,0.544823324936347,-2.03097374154293,0.0112184620611001,1.07477457041012,0.191172930279737,0.894099759519893,0.299075116041944,0.566435790146086,0.442957339610809,-0.481784377812389,0.528015920743421,-0.860455687377358,0.274440323913481
51,0.562434791230035,1.17974199834101e-48,-0.0138005524755878,0.649642389742152,-1.98153279047077,0.120663240356993,1.27559859420725,0.327720253729007,2.16618827536303,0.111888172269158,0.516841974904609,0.673739369058409,-0.700086218320804,0.580216918665095,-2.15357764524708,0.104267778621272
52,0.539160174227734,8.58116270112968e-52,0.0122180446588518,0.389976367188039,-1.61932188673733,0.00336094965897394,0.742424863729251,0.16906661114086,1.25169899227496,0.0237165625168185,0.19710173967556,0.732507199585695,-0.211836009702527,0.71278490581101,-1.54147547631154,0.00926761778818697
53,0.540897339524398,5.10416008569613e-56,0.00888081074022714,0.585384990150858,-2.20311154331656,0.000928887802752153,0.308140560981909,0.640984810854313,0.62682055020215,0.342530181205119,0.808220989017343,0.218474097109336,0.283459374833065,0.675039425878876,-0.696369176241688,0.309693827968788
54,0.534154032954094,1.05803760647461e-54,0.0167437591839879,0.292140079667187,-2.39912369946096,0.000195763545088552,0.824530198822217,0.200957188341862,1.01418425939416,0.141198189197767,1.08849542701039,0.0965417360992626,-0.284941801464079,0.669247092756476,-1.14729454301443,0.105597771919136
55,0.539449325562855,2.68116243020316e-55,0.0113489863483002,0.513486881520146,-1.34661486862723,0.0346699086861956,1.38940682739011,0.0233904793854044,0.560965028721386,0.347321783359103,-0.139173652886429,0.839991326007643,-0.988328121541406,0.144363219710726,-0.69531393167853,0.301152432447148
56,0.5423752893264,4.79820062849212e-58,0.00668519896108263,0.715279144271581,-1.5292904905799,0.044295411088331,0.657692107576943,0.395855069649538,0.89106621940482,0.266448333794363,0.0580883979766138,0.936562146246123,-0.0599555535114418,0.93679868116107,-0.907726348646014,0.239023765209953
57,0.53133926814897,3.49756768683841e-52,0.021324840032842,0.145185928088584,-1.92520024908846,0.000836785176115833,0.50768870986113,0.368028050724083,0.2642705700003,0.648363185955817,0.553642864307274,0.347721955895134,0.0511210061853767,0.930079283318062,-0.331933347335178,0.570118231809982
58,0.539639831357278,2.46274751853881e-53,0.01123621907801,0.447157010391387,-1.70364732649931,0.00331400352429018,0.831723934588713,0.138928492953025,0.576752598810817,0.314569181214319,0.288123843805483,0.625291827363838,-0.326675872524892,0.579545171086187,-0.692584791005422,0.249179254953487
59,0.545189927506897,1.28836693412823e-57,0.0037069984566089,0.811663717901638,-1.52970606928246,0.0306817865121567,0.40467021529773,0.571736568135037,0.762099964416341,0.311638543740561,0.0473557337721963,0.940228170717239,0.190771332098524,0.768257092905936,-0.725230481831979,0.275006125489966
60,0.522613114819505,3.9852761276854e-55,0.0260704972315562,0.186459481767992,-1.4845285708324,0.0802611178095248,0.748146211408661,0.380392756301371,0.746099918432548,0.379539237344634,0.0120377387033593,0.987742879629168,-0.152711036463671,0.848052957350904,-0.716239293241075,0.350546481167316
61,0.54702253557242,1.3613696148866e-54,0.00194374177119229,0.878386709076769,-1.53703682750911,0.00896415173896861,0.475307895215418,0.422516478646674,0.527900328871966,0.375382446946244,0.062006734617603,0.903870227407318,0.132056437894655,0.79980604769072,-0.503852087728731,0.313018372964474
62,0.546869285509362,1.00912077478864e-53,0.00189187495906256,0.867391370557048,-1.71666901609437,0.00169361114230359,1.29080197784855,0.0179239513183021,0.713688217858911,0.189117901752937,0.259884263383786,0.558476993151078,-0.640150708201016,0.150246428226998,-0.591330407904923,0.157184370938067
63,0.541834584602855,2.38317780230281e-53,0.00687475002222049,0.562529532848886,-1.73051751583894,0.00197896243672118,0.769384815064015,0.171516203511363,0.361549880652102,0.540825286014707,0.265085218463178,0.574172609449918,-0.175576314495037,0.715819428094756,-0.33315751447905,0.501302840488505
64,0.528848963312955,8.30868750645957e-53,0.0204963043375064,0.126535285088734,-1.94502735516601,0.00108466822392528,-0.154684692351106,0.790466851751731,-0.365281304449472,0.541309436199428,0.473301632121384,0.380689251379884,0.749181260407735,0.161730372418275,0.32722540668647,0.544191706311305
