"Node_Number","ROI_Name_7N","Network_7N","Node_Number_17N","ROI_Name_17N","Network_17N","R","A","S"
34,"7Networks_LH_Cont_Par_1","Cont",31,"17Networks_LH_ContA_IPS_1","ContA",-37,-53,46
35,"7Networks_LH_Cont_PFCl_1","Cont",32,"17Networks_LH_ContA_PFCl_1","ContA",-43,33,21
36,"7Networks_LH_Cont_pCun_1","Cont",35,"17Networks_LH_ContC_pCun_1","ContC",-9,-73,38
37,"7Networks_LH_Cont_Cing_1","Cont",37,"17Networks_LH_ContC_Cingp_1","ContC",-4,-26,33
38,"7Networks_LH_Default_Temp_1","Default",41,"17Networks_LH_DefaultB_Temp_1","DefaultB",-55,-4,-20
39,"7Networks_LH_Default_Temp_2","Default",42,"17Networks_LH_DefaultB_Temp_2","DefaultB",-58,-32,-1
40,"7Networks_LH_Default_Par_1","Default",50,"17Networks_LH_TempPar_1","TempPar",-57,-50,12
41,"7Networks_LH_Default_Par_2","Default",43,"17Networks_LH_DefaultB_IPL_1","DefaultB",-48,-63,35
42,"7Networks_LH_Default_PFC_1","Default",46,"17Networks_LH_DefaultB_PFCv_1","DefaultB",-35,21,-11
43,"7Networks_LH_Default_PFC_2","Default",47,"17Networks_LH_DefaultB_PFCv_2","DefaultB",-47,33,-3
44,"7Networks_LH_Default_PFC_3","Default",40,"17Networks_LH_DefaultA_PFCm_1","DefaultA",-6,47,0
45,"7Networks_LH_Default_PFC_4","Default",34,"17Networks_LH_ContB_PFClv_1","ContB",-24,61,-1
46,"7Networks_LH_Default_PFC_5","Default",44,"17Networks_LH_DefaultB_PFCd_1","DefaultB",-9,48,41
